game_title,image_url,genre,short_description,player_mode
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Fighting,A physics-based puzzle game where you manipulate gravity to guide a wobbly creature through challenging levels.,Multiplayer
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,Fantasy,"A surreal, puzzle-adventure game where you manipulate reality to solve mind-bending challenges and uncover a forgotten story.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Action,"Join Indy on a globe-trotting adventure, solving puzzles and facing perilous foes to uncover a powerful ancient artifact.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"Massive 50v50 World War II shooter.  Realistic combat, large maps, and squad-based gameplay.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,A revolutionary 3D platformer featuring Mario's quest to rescue Princess Peach from Bowser's clutches in a sprawling castle.,Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,Description unavailable,Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Survival,"Survive a post-apocalyptic Chernobyl zone, scavenge for resources, battle mutants and other players, and uncover the mysteries of X.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,Cooperative grocery store simulation.  Teamwork and efficiency are key to fulfilling customer orders and managing a thriving business.,Multiplayer
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"A free-to-play MMORPG sequel, featuring updated graphics and classic gameplay with a vast world and diverse character classes.",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Survival,"A brutal, cooperative horror experience.  Players endure gruesome experiments in a Cold War-era asylum.",Both
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,"Androids gain consciousness and fight for freedom in a near-future Detroit, facing moral dilemmas and societal upheaval.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Unknown,"Realistic MMA fighting.  Improved graphics,  enhanced gameplay, and a deeper career mode.  Become the ultimate champion.",Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,MMO,"A charming MMO life sim where you build a home, forge friendships, and explore a vibrant fantasy world.",Both
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Survive the Amazon rainforest's brutal environment.  Combat hunger, disease, and wildlife while crafting and exploring.",Singleplayer
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Experience unparalleled realism in a next-gen flight sim. Explore a detailed Earth, pilot diverse aircraft, and enjoy stunning visuals.",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,"Auto battler where you strategically position a team of champions to fight other players, last one standing wins.",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Adventure,"Explore a vast, procedurally generated galaxy, discovering planets, resources, and alien life.  Survive, build, and unravel cosmic mysteries.",Unknown
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Manage your farm, cultivate crops, raise livestock, and expand your agricultural empire in this immersive simulation.",Singleplayer
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"A pandemic-ravaged Washington D.C. needs saving.  Play a specialized agent, rebuild society, and fight for survival.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"The ultimate crossover fighting game!  Hundreds of iconic characters clash in chaotic, fast-paced battles.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Action,"Parkour across a zombie-infested city, crafting weapons and scavenging supplies to survive by day, fighting hordes by night.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,"WWII stealth action.  Play as a sniper, utilize gadgets, and sabotage Nazi operations behind enemy lines.",Both
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,Description unavailable,Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Join Hello Kitty and friends on a crafting adventure!  Explore a vibrant island, befriend animals, and build your dream home.",Singleplayer
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Rhythm,"Become a music manager, guiding bands to stardom.  Navigate the industry, build your label, and conquer the charts.",Multiplayer
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Strategy,"Free-to-play MMO featuring massive tank battles.  Players research, upgrade, and customize iconic tanks across various nations.",Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Action,"A challenging roguelike where a young boy battles monstrous creatures in his basement, using bizarre items and abilities.",Singleplayer
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,SciFi,"Pilot giant mechs, battling monstrous creatures across a vibrant alien landscape.  Explore, upgrade, and survive.",Singleplayer
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Unknown,"Open-world crime saga in 1990s San Andreas.  Play as Carl ""CJ"" Johnson, navigating gang warfare, missions, and a sprawling landscape.",Both
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Dressup,"Style diverse outfits, explore a vast world, and unravel a captivating mystery through unique fashion challenges.",Both
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Loot-filled adventure on alien planets.  Team up with friends, battle psychos, and explore a vast, chaotic world.",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"A free-to-play MMORPG featuring large-scale PvP battles, character classes, and a persistent world.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Manage a supermarket, stocking shelves, serving customers, and keeping your store profitable.  Success depends on efficient operations and happy shoppers.",Singleplayer
